Date,Open,High,Low,Close,Date_add,Symbol,week_of_year,week_day,avg_daily_price,Year,Month,Week
2024-04-19 00:00:00-04:00,36.093089821217944,36.54357769670367,36.03903003885775,36.507537841796875,2024-04-19,HSBC,16,Friday,36.29580884964406,2024,4,16
2024-04-22 00:00:00-04:00,37.183271298199934,37.59771933709383,37.12020326780085,37.49861145019531,2024-04-22,HSBC,17,Monday,37.349951338322484,2024,4,17
2024-04-23 00:00:00-04:00,37.45356272155114,37.77791455072081,37.42653454810361,37.74187469482422,2024-04-23,HSBC,17,Tuesday,37.59997162879994,2024,4,17
2024-04-24 00:00:00-04:00,37.51663173750739,37.62474787109057,37.3634675013437,37.56167984008789,2024-04-24,HSBC,17,Wednesday,37.51663173750739,2024,4,17
2024-04-25 00:00:00-04:00,37.24634007471113,37.74187608218031,37.22832014610044,37.6697998046875,2024-04-25,HSBC,17,Thursday,37.47158402691984,2024,4,17
2024-04-26 00:00:00-04:00,37.705837283196786,37.81395685789538,37.50762493681613,37.75088882446289,2024-04-26,HSBC,17,Friday,37.694576975592796,2024,4,17
2024-04-29 00:00:00-04:00,38.03920224361825,38.15632663184437,37.94009434823447,38.0031623840332,2024-04-29,HSBC,18,Monday,38.03469640193258,2024,4,18
2024-04-30 00:00:00-04:00,39.687982649088724,39.85015856537425,39.255514684643934,39.2645263671875,2024-04-30,HSBC,18,Tuesday,39.5145455665736,2024,4,18
2024-05-01 00:00:00-04:00,39.47174691786741,39.606891211600086,39.20145145650292,39.32759094238281,2024-05-01,HSBC,18,Wednesday,39.40192013208831,2024,5,18
2024-05-02 00:00:00-04:00,40.22857175286185,40.27361985648874,39.83214019226523,40.10243225097656,2024-05-02,HSBC,18,Thursday,40.1091910131481,2024,5,18
2024-05-03 00:00:00-04:00,40.24658267725681,40.37272216169264,40.048370361328125,40.048370361328125,2024-05-03,HSBC,18,Friday,40.17901139040143,2024,5,18
2024-05-06 00:00:00-04:00,40.30965526415496,40.38173153461107,40.084411333936494,40.3456916809082,2024-05-06,HSBC,19,Monday,40.280372453402684,2024,5,19
2024-05-07 00:00:00-04:00,40.67905802082989,40.805194080673104,40.480842248533484,40.5258903503418,2024-05-07,HSBC,19,Tuesday,40.62274617509457,2024,5,19
2024-05-08 00:00:00-04:00,40.82321273419411,40.95835703539954,40.68806499603893,40.904300689697266,2024-05-08,HSBC,19,Wednesday,40.84348386383246,2024,5,19
2024-05-09 00:00:00-04:00,40.61512189237357,40.708402786495725,40.48452721722736,40.5684814453125,2024-05-09,HSBC,19,Thursday,40.59413333535229,2024,5,19
2024-05-10 00:00:00-04:00,40.84833168505703,40.96959614759968,40.66176632011048,40.67109298706055,2024-05-10,HSBC,19,Friday,40.787696784956935,2024,5,19
2024-05-13 00:00:00-04:00,41.03489987457974,41.109523890631976,40.87631805800601,41.01624298095703,2024-05-13,HSBC,20,Monday,41.00924620104369,2024,5,20
2024-05-14 00:00:00-04:00,41.45466551983702,41.80913936463211,41.361384614677576,41.715858459472656,2024-05-14,HSBC,20,Tuesday,41.58526198965484,2024,5,20
2024-05-15 00:00:00-04:00,41.538617804573235,41.79048050678645,41.52929113787123,41.76249694824219,2024-05-15,HSBC,20,Wednesday,41.655221599368275,2024,5,20
2024-05-16 00:00:00-04:00,42.34084871035636,42.34084871035636,40.885646650318286,41.44533920288086,2024-05-16,HSBC,20,Thursday,41.75317081847797,2024,5,20
2024-05-17 00:00:00-04:00,41.38936893282637,41.659888544558726,41.34272847939215,41.547950744628906,2024-05-17,HSBC,20,Friday,41.48498417535154,2024,5,20
2024-05-20 00:00:00-04:00,41.491978033543354,41.538618484693544,41.21213176820388,41.221458435058594,2024-05-20,HSBC,21,Monday,41.36604668037484,2024,5,21
2024-05-21 00:00:00-04:00,41.3707098191138,41.61324585745474,41.324069368183096,41.585262298583984,2024-05-21,HSBC,21,Tuesday,41.47332183583391,2024,5,21
2024-05-22 00:00:00-04:00,41.51995854951683,41.60391277880943,41.137501184614536,41.2401123046875,2024-05-22,HSBC,21,Wednesday,41.375371204407074,2024,5,21
2024-05-23 00:00:00-04:00,41.32406616152431,41.389363499448024,40.84832790544612,40.8576545715332,2024-05-23,HSBC,21,Thursday,41.10485303448792,2024,5,21
2024-05-24 00:00:00-04:00,41.380040007370795,41.65055960434067,41.33339955648179,41.39869689941406,2024-05-24,HSBC,21,Friday,41.44067401690183,2024,5,21
2024-05-28 00:00:00-04:00,41.07220579929772,41.41735295749088,40.99758179106557,41.19347381591797,2024-05-28,HSBC,22,Tuesday,41.17015359094303,2024,5,22
2024-05-29 00:00:00-04:00,40.922957430328445,40.97892810971601,40.736392057475065,40.801692962646484,2024-05-29,HSBC,22,Wednesday,40.8599926400415,2024,5,22
2024-05-30 00:00:00-04:00,41.27743004860446,41.510635868088094,41.21213270382411,41.33340072631836,2024-05-30,HSBC,22,Thursday,41.33339983670875,2024,5,22
2024-05-31 00:00:00-04:00,41.49198047301668,41.715859633513965,41.31474532485029,41.65056228637695,2024-05-31,HSBC,22,Friday,41.543286929439475,2024,5,22
2024-06-03 00:00:00-04:00,41.53861443221714,41.87443134123777,41.37070597770681,41.86510467529297,2024-06-03,HSBC,23,Monday,41.662214106613675,2024,6,23
