Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close
2025-02-03,Monday,XLG,DCA_Monthly,49.9,DCA,2.00402,100.0,539.60541,11500.0,27033.61,50.1
2025-03-03,Monday,XLG,DCA_Monthly,48.88,DCA,2.04598,100.0,541.65139,11600.0,26181.22,48.34
2025-04-07,Monday,XLG,DCA_Monthly,40.96,DCA,2.44139,100.0,544.09278,11700.0,22571.27,41.48
2025-05-05,Monday,XLG,DCA_Monthly,46.48,DCA,2.15151,100.0,546.2443,11800.0,25369.76,46.44
2025-06-02,Monday,XLG,DCA_Monthly,49.22,DCA,2.03187,100.0,548.27617,11900.0,27127.45,49.48
2025-07-07,Monday,XLG,DCA_Monthly,52.27,DCA,1.91324,100.0,550.1894,12000.0,28719.89,52.2
2025-08-04,Monday,XLG,DCA_Monthly,53.42,DCA,1.87178,100.0,552.06118,12100.0,29618.08,53.65
2024-10-28,Monday,TOPT,DCA_Monthly,25.04,DCA,3.99414,100.0,3.99414,100.0,99.48,24.91
2024-11-04,Monday,TOPT,DCA_Monthly,24.24,DCA,4.12601,100.0,8.12015,200.0,196.42,24.19
2024-12-02,Monday,TOPT,DCA_Monthly,25.66,DCA,3.89639,100.0,12.01654,300.0,309.36,25.74
2025-01-06,Monday,TOPT,DCA_Monthly,26.58,DCA,3.76178,100.0,15.77832,400.0,419.1,26.56
2025-02-03,Monday,TOPT,DCA_Monthly,25.77,DCA,3.88086,100.0,19.65918,500.0,508.46,25.86
2025-03-03,Monday,TOPT,DCA_Monthly,25.4,DCA,3.93673,100.0,23.59591,600.0,591.67,25.08
2025-04-07,Monday,TOPT,DCA_Monthly,21.19,DCA,4.71905,100.0,28.31497,700.0,608.64,21.5
2025-05-05,Monday,TOPT,DCA_Monthly,24.31,DCA,4.11381,100.0,32.42878,800.0,787.76,24.29
2025-06-02,Monday,TOPT,DCA_Monthly,25.9,DCA,3.86171,100.0,36.29048,900.0,944.65,26.03
2025-07-07,Monday,TOPT,DCA_Monthly,27.35,DCA,3.65647,100.0,39.94696,1000.0,1090.95,27.31
2025-08-04,Monday,TOPT,DCA_Monthly,28.13,DCA,3.55524,100.0,43.5022,1100.0,1228.94,28.25
2021-02-08,Monday,FMAG,DCA_Monthly,20.16,DCA,4.9611,100.0,4.9611,100.0,99.86,20.13
2021-03-01,Monday,FMAG,DCA_Monthly,19.69,DCA,5.07986,100.0,10.04097,200.0,198.28,19.75
2021-04-05,Monday,FMAG,DCA_Monthly,20.44,DCA,4.89147,100.0,14.93244,300.0,306.28,20.51
2021-05-03,Monday,FMAG,DCA_Monthly,21.23,DCA,4.71139,100.0,19.64383,400.0,415.19,21.14
2021-06-07,Monday,FMAG,DCA_Monthly,21.02,DCA,4.75821,100.0,24.40204,500.0,512.32,20.99
2021-07-12,Monday,FMAG,DCA_Monthly,22.65,DCA,4.41522,100.0,28.81726,600.0,652.57,22.65
2021-08-02,Monday,FMAG,DCA_Monthly,22.97,DCA,4.35281,100.0,33.17007,700.0,759.77,22.91
2021-09-13,Monday,FMAG,DCA_Monthly,23.69,DCA,4.22081,100.0,37.39089,800.0,883.46,23.63
2021-10-04,Monday,FMAG,DCA_Monthly,22.46,DCA,4.45235,100.0,41.84323,900.0,933.05,22.3
2021-11-01,Monday,FMAG,DCA_Monthly,24.33,DCA,4.11087,100.0,45.9541,1000.0,1114.11,24.24
2021-12-06,Monday,FMAG,DCA_Monthly,24.23,DCA,4.12792,100.0,50.08202,1100.0,1218.16,24.32
2022-01-03,Monday,FMAG,DCA_Monthly,25.02,DCA,3.99665,100.0,54.07867,1200.0,1348.43,24.93
2022-02-07,Monday,FMAG,DCA_Monthly,22.16,DCA,4.51179,100.0,58.59046,1300.0,1290.32,22.02
2022-03-07,Monday,FMAG,DCA_Monthly,20.64,DCA,4.84392,100.0,63.43438,1400.0,1286.51,20.28
2022-04-04,Monday,FMAG,DCA_Monthly,22.45,DCA,4.45522,100.0,67.8896,1500.0,1532.24,22.57
2022-05-02,Monday,FMAG,DCA_Monthly,19.86,DCA,5.03523,100.0,72.92483,1600.0,1456.98,19.98
2022-06-06,Monday,FMAG,DCA_Monthly,19.97,DCA,5.00646,100.0,77.93129,1700.0,1549.27,19.88
2022-07-11,Monday,FMAG,DCA_Monthly,19.02,DCA,5.25638,100.0,83.18767,1800.0,1583.74,19.04
2022-08-01,Monday,FMAG,DCA_Monthly,20.7,DCA,4.8317,100.0,88.01936,1900.0,1820.83,20.69
2022-09-12,Monday,FMAG,DCA_Monthly,20.16,DCA,4.96083,100.0,92.98019,2000.0,1879.13,20.21
2022-10-03,Monday,FMAG,DCA_Monthly,17.79,DCA,5.62042,100.0,98.60062,2100.0,1769.88,17.95
2022-11-07,Monday,FMAG,DCA_Monthly,17.81,DCA,5.61439,100.0,104.215,2200.0,1864.24,17.89
2022-12-05,Monday,FMAG,DCA_Monthly,19.38,DCA,5.15887,100.0,109.37388,2300.0,2110.87,19.3
2023-01-09,Monday,FMAG,DCA_Monthly,18.63,DCA,5.36751,100.0,114.74139,2400.0,2129.03,18.56
2023-02-06,Monday,FMAG,DCA_Monthly,19.74,DCA,5.06707,100.0,119.80846,2500.0,2366.66,19.75
2023-03-06,Monday,FMAG,DCA_Monthly,19.64,DCA,5.09261,100.0,124.90108,2600.0,2451.35,19.63
2023-04-03,Monday,FMAG,DCA_Monthly,19.89,DCA,5.02685,100.0,129.92792,2700.0,2592.38,19.95
