Date,Symbol,Buy_Price,Buy_Level
2016-02-02 00:00:00-05:00,XLG,12.003868437393539,1.0000000000000009%
2016-02-03 00:00:00-05:00,XLG,11.964466232534063,1.0000000000000009%
2016-02-05 00:00:00-05:00,XLG,11.939947810904876,1.0000000000000009%
2016-02-10 00:00:00-05:00,XLG,11.77445630628332,1.0000000000000009%
2016-02-23 00:00:00-05:00,XLG,12.147470978653875,1.0000000000000009%
2016-03-10 00:00:00-05:00,XLG,12.436423044362487,1.0000000000000009%
2016-04-07 00:00:00-04:00,XLG,12.852373500844562,1.0000000000000009%
2016-05-17 00:00:00-04:00,XLG,12.819791516949174,1.0000000000000009%
2016-06-24 00:00:00-04:00,XLG,12.843398708446939,1.0000000000000009%
2016-09-09 00:00:00-04:00,XLG,13.548954548995123,1.0000000000000009%
2016-09-29 00:00:00-04:00,XLG,13.602835673096406,1.0000000000000009%
2016-11-01 00:00:00-04:00,XLG,13.372325844246543,1.0000000000000009%
2016-11-03 00:00:00-04:00,XLG,13.23793571202012,1.0000000000000009%
2016-11-10 00:00:00-05:00,XLG,13.658906156958931,1.0000000000000009%
2016-11-14 00:00:00-05:00,XLG,13.609956433126877,1.0000000000000009%
2017-03-21 00:00:00-04:00,XLG,15.144408663117247,1.0000000000000009%
2017-05-17 00:00:00-04:00,XLG,15.201003469660758,1.0000000000000009%
2017-06-09 00:00:00-04:00,XLG,15.540554952769213,1.0000000000000009%
2017-07-27 00:00:00-04:00,XLG,15.898424529642208,1.0000000000000009%
2017-08-10 00:00:00-04:00,XLG,15.832541756428782,1.0000000000000009%
2017-08-17 00:00:00-04:00,XLG,15.823512789387541,1.0000000000000009%
2017-12-01 00:00:00-05:00,XLG,17.052484905450598,1.0000000000000009%
2018-02-02 00:00:00-05:00,XLG,18.25404284343545,1.0000000000000009%
2018-02-05 00:00:00-05:00,XLG,17.742345383083354,1.0000000000000009%
2018-02-05 00:00:00-05:00,XLG,17.563129773153218,2.0000000000000018%
2018-02-05 00:00:00-05:00,XLG,17.383914163223086,3.0000000000000027%
2018-02-08 00:00:00-05:00,XLG,17.380244873520446,1.0000000000000009%
2018-02-08 00:00:00-05:00,XLG,17.204686844494987,2.0000000000000018%
2018-02-08 00:00:00-05:00,XLG,17.02912881546953,3.0000000000000027%
2018-02-09 00:00:00-05:00,XLG,16.96614503883155,1.0000000000000009%
2018-02-09 00:00:00-05:00,XLG,16.79476983641911,2.0000000000000018%
2018-02-09 00:00:00-05:00,XLG,16.62339463400667,3.0000000000000027%
2018-02-27 00:00:00-05:00,XLG,18.181072820346245,1.0000000000000009%
2018-02-28 00:00:00-05:00,XLG,18.044256404908197,1.0000000000000009%
2018-03-01 00:00:00-05:00,XLG,17.768802885340055,1.0000000000000009%
2018-03-01 00:00:00-05:00,XLG,17.58932002791238,2.0000000000000018%
2018-03-13 00:00:00-04:00,XLG,18.28139919455361,1.0000000000000009%
2018-03-19 00:00:00-04:00,XLG,17.795251215374442,1.0000000000000009%
2018-03-22 00:00:00-04:00,XLG,17.399704020509116,1.0000000000000009%
2018-03-23 00:00:00-04:00,XLG,17.12318967341359,1.0000000000000009%
2018-03-23 00:00:00-04:00,XLG,16.95022816156093,2.0000000000000018%
2018-03-26 00:00:00-04:00,XLG,17.012395185373354,1.0000000000000009%
2018-03-27 00:00:00-04:00,XLG,17.230316356669395,1.0000000000000009%
2018-03-27 00:00:00-04:00,XLG,17.056272757107077,2.0000000000000018%
2018-04-02 00:00:00-04:00,XLG,16.973933689510414,1.0000000000000009%
2018-04-02 00:00:00-04:00,XLG,16.802479813858795,2.0000000000000018%
2018-04-06 00:00:00-04:00,XLG,17.16531050480825,1.0000000000000009%
2018-04-06 00:00:00-04:00,XLG,16.991923530012205,2.0000000000000018%
2018-04-13 00:00:00-04:00,XLG,17.383222481196906,1.0000000000000009%
2018-04-20 00:00:00-04:00,XLG,17.449146421793497,1.0000000000000009%
2018-04-24 00:00:00-04:00,XLG,17.2339758747292,1.0000000000000009%
2018-05-03 00:00:00-04:00,XLG,17.066414996711174,1.0000000000000009%
2018-06-25 00:00:00-04:00,XLG,17.793132699966332,1.0000000000000009%
2018-07-03 00:00:00-04:00,XLG,17.84644242403499,1.0000000000000009%
2018-07-27 00:00:00-04:00,XLG,18.640640413035126,1.0000000000000009%
2018-10-04 00:00:00-04:00,XLG,19.41007968180711,1.0000000000000009%
2018-10-05 00:00:00-04:00,XLG,19.29369111306699,1.0000000000000009%
