Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close,Low
"2025-01-30","Wednesday","TQQQ","Buy_on_Dip",81.8669,"1%",1,81.8669,33,2643.433,2714.1329,82.2465,82.6939,81.70954277034251
"2025-02-02","Saturday","TQQQ","Buy_on_Dip",81.424,"1%",1,81.424,34,2724.857,2728.7687,80.2579,82.2465,76.89724865778669
"2025-02-02","Saturday","TQQQ","Buy_on_Dip",80.6015,"2%",1,80.6015,35,2805.4585,2809.0266,80.2579,82.2465,76.89724865778669
"2025-02-02","Saturday","TQQQ","Buy_on_Dip",79.7791,"3%",1,79.7791,36,2885.2375,2889.2845,80.2579,82.2465,76.89724865778669
"2025-02-02","Saturday","TQQQ","Buy_on_Dip",78.9566,"4%",1,78.9566,37,2964.1941,2969.5424,80.2579,82.2465,76.89724865778669
"2025-02-02","Saturday","TQQQ","Buy_on_Dip",78.1341,"5%",1,78.1341,38,3042.3283,3049.8004,80.2579,82.2465,76.89724865778669
"2025-02-04","Monday","TQQQ","Buy_on_Dip",82.3394,"1%",1,82.3394,39,3124.6677,3285.9407,84.2549,83.1711,81.29195416775444
"2025-02-04","Monday","TQQQ","Buy_on_Dip",81.5077,"2%",1,81.5077,40,3206.1754,3370.1956,84.2549,83.1711,81.29195416775444
"2025-02-06","Wednesday","TQQQ","Buy_on_Dip",84.6624,"1%",1,84.6624,41,3290.8378,3372.5121,82.2564,85.5176,81.87856398890158
"2025-02-06","Wednesday","TQQQ","Buy_on_Dip",83.8073,"2%",1,83.8073,42,3374.6451,3454.7685,82.2564,85.5176,81.87856398890158
"2025-02-06","Wednesday","TQQQ","Buy_on_Dip",82.9521,"3%",1,82.9521,43,3457.5972,3537.0249,82.2564,85.5176,81.87856398890158
"2025-02-06","Wednesday","TQQQ","Buy_on_Dip",82.0969,"4%",1,82.0969,44,3539.6941,3619.2813,82.2564,85.5176,81.87856398890158
"2025-02-10","Sunday","TQQQ","Buy_on_Dip",84.2982,"1%",1,84.2982,45,3623.9923,3804.4453,84.5432,85.1497,83.52907067388325
