Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2020-07-27,Monday,ALLY,DCA_Weekly,17.65,25.00,1.41644991,320.51933284,5775.00,5657.09,17.65
2020-08-03,Monday,ALLY,DCA_Weekly,17.53,25.00,1.42631623,321.94564907,5800.00,5642.96,17.53
2020-08-10,Monday,ALLY,DCA_Weekly,18.76,25.00,1.33291409,323.27856315,5825.00,6063.38,18.76
2020-08-17,Monday,ALLY,DCA_Weekly,18.71,25.00,1.33595172,324.61451487,5850.00,6074.59,18.71
2020-08-24,Monday,ALLY,DCA_Weekly,19.54,25.00,1.27938842,325.89390329,5875.00,6368.16,19.54
2020-08-31,Monday,ALLY,DCA_Weekly,19.51,25.00,1.28106614,327.17496943,5900.00,6384.82,19.51
2020-09-14,Monday,ALLY,DCA_Weekly,20.82,25.00,1.20076939,328.37573882,5925.00,6836.78,20.82
2020-09-21,Monday,ALLY,DCA_Weekly,20.94,25.00,1.19392174,329.56966056,5950.00,6900.99,20.94
2020-09-28,Monday,ALLY,DCA_Weekly,21.27,25.00,1.17525210,330.74491265,5975.00,7035.62,21.27
2020-10-05,Monday,ALLY,DCA_Weekly,23.14,25.00,1.08038290,331.82529556,6000.00,7678.42,23.14
2020-10-12,Monday,ALLY,DCA_Weekly,23.65,25.00,1.05700651,332.88230207,6025.00,7873.23,23.65
2020-10-19,Monday,ALLY,DCA_Weekly,24.27,25.00,1.03025615,333.91255822,6050.00,8102.66,24.27
2020-10-26,Monday,ALLY,DCA_Weekly,24.28,25.00,1.02953229,334.94209051,6075.00,8133.36,24.28
2020-11-02,Monday,ALLY,DCA_Weekly,23.71,25.00,1.05439067,335.99648118,6100.00,7966.60,23.71
2020-11-09,Monday,ALLY,DCA_Weekly,25.66,25.00,0.97426122,336.97074241,6125.00,8646.83,25.66
2020-11-16,Monday,ALLY,DCA_Weekly,26.38,25.00,0.94761272,337.91835512,6150.00,8914.99,26.38
2020-11-23,Monday,ALLY,DCA_Weekly,25.65,25.00,0.97458765,338.89294277,6175.00,8693.24,25.65
2020-11-30,Monday,ALLY,DCA_Weekly,25.47,25.00,0.98149028,339.87443304,6200.00,8657.10,25.47
2020-12-07,Monday,ALLY,DCA_Weekly,27.52,25.00,0.90827668,340.78270972,6225.00,9379.93,27.52
2020-12-14,Monday,ALLY,DCA_Weekly,28.92,25.00,0.86430631,341.64701603,6250.00,9882.12,28.92
2020-12-21,Monday,ALLY,DCA_Weekly,29.84,25.00,0.83792661,342.48494265,6275.00,10218.23,29.84
2020-12-28,Monday,ALLY,DCA_Weekly,30.05,25.00,0.83193796,343.31688060,6300.00,10316.78,30.05
2021-01-04,Monday,ALLY,DCA_Weekly,30.44,25.00,0.82137135,344.13825195,6325.00,10474.50,30.44
2021-01-11,Monday,ALLY,DCA_Weekly,32.20,25.00,0.77644570,344.91469765,6350.00,11105.56,32.20
2021-01-25,Monday,ALLY,DCA_Weekly,33.81,25.00,0.73935927,345.65405692,6375.00,11687.62,33.81
2021-02-01,Monday,ALLY,DCA_Weekly,33.32,25.00,0.75020196,346.40425888,6400.00,11543.70,33.32
2021-02-08,Monday,ALLY,DCA_Weekly,36.06,25.00,0.69326767,347.09752655,6425.00,12516.72,36.06
2021-02-22,Monday,ALLY,DCA_Weekly,36.80,25.00,0.67928200,347.77680855,6450.00,12799.43,36.80
2021-03-01,Monday,ALLY,DCA_Weekly,37.05,25.00,0.67484952,348.45165807,6475.00,12908.49,37.05
2021-03-08,Monday,ALLY,DCA_Weekly,37.86,25.00,0.66038301,349.11204107,6500.00,13216.27,37.86
2021-03-15,Monday,ALLY,DCA_Weekly,40.25,25.00,0.62114533,349.73318640,6525.00,14076.14,40.25
2021-03-22,Monday,ALLY,DCA_Weekly,38.76,25.00,0.64493984,350.37812624,6550.00,13581.81,38.76
2021-03-29,Monday,ALLY,DCA_Weekly,38.64,25.00,0.64695700,351.02508324,6575.00,13564.47,38.64
2021-04-05,Monday,ALLY,DCA_Weekly,40.51,25.00,0.61717391,351.64225714,6600.00,14244.05,40.51
2021-04-12,Monday,ALLY,DCA_Weekly,41.48,25.00,0.60265959,352.24491673,6625.00,14612.10,41.48
2021-04-19,Monday,ALLY,DCA_Weekly,41.52,25.00,0.60215835,352.84707508,6650.00,14649.26,41.52
2021-04-26,Monday,ALLY,DCA_Weekly,42.80,25.00,0.58417985,353.43125492,6675.00,15125.10,42.80
2021-05-03,Monday,ALLY,DCA_Weekly,44.53,25.00,0.56137451,353.99262944,6700.00,15764.55,44.53
2021-05-10,Monday,ALLY,DCA_Weekly,46.51,25.00,0.53752633,354.53015576,6725.00,16488.97,46.51
